datetime,C_B1,C_B2,C_B3,C_B4,C_B5,L_B1,L_B2,L_B3,L_B4,L_B5,W_B1,W_B2,W_B3,W_B4,W_B5,LW_B1,LW_B2,LW_B3,LW_B4,LW_B5
1/2/2006 9:00,0.0343297,0.0126693,0.0104928,0.0642437,0.0184475,0.0495983,0.0344132,0.103719,0.0397149,0.0565069,0.0579794,0.022914,,0.0800121,0.0592972,0.0631007,0.0482843,0.0722584,0.0294008,0.0579387
1/2/2006 10:00,0.0973547,0.025892,0.00170644,0.136756,0.0221455,0.529916,0.0690719,0.15572,0.102289,0.0964489,0.107066,0.0940155,,0.159325,0.0788792,0.0972329,0.0523189,0.128745,0.0263665,0.0875
1/2/2006 11:00,0.201054,0.0921065,0.127928,0.223381,0.110743,0.15055,0.11839,0.230571,0.171129,0.166142,0.191539,0.149241,,0.269177,0.166003,0.154321,0.108372,0.185416,0.0919706,0.145663
1/2/2006 12:00,0.317396,0.231235,0.311058,0.296726,0.190848,0.222981,0.225423,0.298655,0.210611,0.289742,0.28812,0.20993,,0.393161,0.243641,0.243473,0.187973,0.250668,0.17559,0.234901
1/2/2006 13:00,0.370972,0.258047,0.427085,0.418753,0.198596,0.302042,0.209834,0.398538,0.269943,0.286167,0.371731,0.202398,0.293987,0.353037,0.267257,0.328409,,0.285449,0.299207,0.237194
1/2/2006 14:00,0.257719,0.234884,0,0,0.181437,0.153948,0.20538,0,0,0.274307,0.255002,0.137624,0.229007,0,0.263769,0.209696,0.206272,,0.249118,0.278384
1/2/2006 15:00,0.0967888,0.176561,0.203991,0.162381,0,0.0597731,0.145254,0.200389,0.104181,0,0.161445,0.0867183,0.156563,0.181534,0,0.133955,0.201484,0.192328,0,0
1/2/2006 16:00,0.144202,0.129793,0.191773,0.152132,0.0785763,0.0424017,0.0919006,0.174291,0.107099,0.156916,0.141941,0.0668795,0.114541,0.165197,0.149337,0.123492,0.142967,0.146836,0.123976,0.137609
1/2/2006 17:00,0.0939138,0.0984073,0.129068,0.119564,0.0759623,0.0299541,0.0671797,0.143349,0.0807939,0.138599,0.0919799,0.0430091,0.0953333,0.127562,0.121673,0.083231,0.131426,0.130589,0.120195,0.126509
1/2/2006 18:00,0.0684599,0.0623488,0.105713,0.0981198,0.0583162,0.0221517,0.051659,0.131038,0.0668568,0.104211,0.0750105,0.0232868,0.0526029,0.111942,0.0890288,0.0715593,0.110428,0.100907,0.0931983,0.11799
1/2/2006 19:00,0.0582368,0.057181,0.0874974,0.0767397,0.0497082,-0.0177211,0.046089,0.124805,0.059846,0.09751,0.0680599,0.0196798,0.0232072,0.0925168,0.0827861,0.0642799,0.0857907,0.0908067,0.070104,0.0997299
1/2/2006 20:00,0.0677367,0.0412501,0.103455,0.0917523,0.0371983,-0.0127112,0.0410906,0.118396,0.0866759,0.0806363,0.077035,0.0302725,0.0239702,0.11087,0.0761561,0.0572554,0.0872565,0.0792176,0.0719504,0.0936817
1/2/2006 21:00,0.0882411,0.0598005,0.105808,0.106456,0.0419612,0.0364593,0.0342505,0.128403,0.0734887,0.113928,0.0969667,0.0354721,0.065458,0.119686,0.0963236,0.0655558,0.0937534,0.100709,0.072864,0.100207
1/2/2006 22:00,0.0786703,0.0664849,0.109055,0.105327,0.0557162,0.0269606,0.0420654,0.127157,0.0687296,0.109814,0.0890556,0.0276715,0.0782497,0.107479,0.0915354,0.0713202,0.0962421,0.101235,0.0764003,0.0890393
1/2/2006 23:00,0.0738697,0.0577807,0.10149,0.0950749,0.0492699,0.00808922,0.0489907,0.125596,0.0583393,0.108786,0.0845553,0.0200755,0.0510011,0.102969,0.105136,0.0566868,0.0856406,0.10517,0.0875881,0.0920342
1/3/2006 0:00,0.0773613,0.049884,0.102418,0.0982956,0.0455951,0.0275434,0.0429275,0.12946,0.0647653,0.0960428,0.091949,0.0401672,0.0637867,0.115074,0.0691511,0.0905596,0.0921897,0.0911731,0.0749202,0.0882937
